rank,self,accum,count,method,trace
420,0.01%,93.28%,14,java.lang.AbstractStringBuilder.<init>,30113
421,0.01%,93.29%,14,Calls$py.test$13,30114
422,0.01%,93.30%,14,sun.misc.Unsafe.putObjectVolatile,30119
423,0.01%,93.31%,14,org.python.core.PyInteger.getValue,30145
424,0.01%,93.32%,14,org.python.core.PyInteger.getValue,30148
425,0.01%,93.33%,14,org.python.core.PyFrame.getlocal,30150
426,0.01%,93.34%,14,org.python.core.PyFrame.getlocal,30150
427,0.01%,93.35%,14,org.python.core.PyString.str_upper,30161
428,0.01%,93.36%,14,java.lang.CharacterData00.getProperties,30168
429,0.01%,93.37%,14,java.lang.CharacterDataLatin1.getProperties,30171
430,0.01%,93.38%,14,org.python.core.__builtin__.range,30185
431,0.01%,93.39%,14,org.python.core.PyListIterator.__iternext__,30190
432,0.01%,93.40%,14,org.python.core.PyInteger.int___add__,30201
433,0.01%,93.41%,14,java.lang.String.charAt,30208
434,0.01%,93.42%,14,java.lang.CharacterData.of,30213
435,0.01%,93.43%,14,java.util.ArrayList.<init>,30220
436,0.01%,93.44%,14,sun.misc.Unsafe.compareAndSwapInt,30221
437,0.01%,93.45%,14,org.python.core.PyListIterator.__iternext__,30224
438,0.01%,93.47%,14,org.python.core.PyListIterator.__iternext__,30224
439,0.01%,93.48%,14,org.python.core.PyList.pyget,30237
440,0.01%,93.49%,14,java.util.ArrayList.size,30257
441,0.01%,93.50%,14,org.python.core.PyString.str_upper,30285
442,0.01%,93.51%,14,org.python.core.PyString.charsFitWidth,30303













































































































































































































































































































































































































































































































































































