rank,self,accum,count,method,trace
95,0.08%,84.51%,110,java.lang.Double.doubleToRawLongBits,30124
96,0.08%,84.58%,107,java.lang.System.arraycopy,30131
97,0.08%,84.66%,107,java.lang.Thread.currentThread,30135
98,0.08%,84.74%,107,org.python.core.PyTuple.getslice,30157
99,0.08%,84.82%,104,java.lang.System.arraycopy,30112
100,0.08%,84.89%,103,org.python.core.PyString.<init>,30122
101,0.08%,84.97%,103,java.util.ArrayList$SubList$1.hasNext,30130
102,0.07%,85.04%,102,java.util.ArrayList.ensureExplicitCapacity,30131
103,0.07%,85.11%,96,java.lang.Object.hashCode,30179
104,0.07%,85.18%,93,java.util.Arrays.copyOfRange,30068
105,0.07%,85.25%,93,java.lang.String.length,30118
106,0.07%,85.31%,92,org.python.core.PySlice.indicesEx,30130
107,0.07%,85.38%,92,org.python.core.PyUnicode.getSupplementaryCounts,30165
108,0.07%,85.44%,90,org.python.core.PyString.__tojava__,30135
109,0.07%,85.51%,90,java.util.regex.Matcher.<init>,30181
110,0.06%,85.58%,89,java.lang.CharacterData.of,30165
111,0.06%,85.64%,88,org.python.core.PyException.normalize,30164
112,0.06%,85.70%,87,java.lang.System.arraycopy,30093
113,0.06%,85.77%,87,java.util.Arrays.copyOfRange,30135
114,0.06%,85.83%,87,java.lang.Object.getClass,30136
115,0.06%,85.89%,86,sun.misc.Unsafe.getObjectVolatile,30114
116,0.06%,85.95%,85,java.util.AbstractCollection.toArray,30156
117,0.06%,86.02%,85,java.util.regex.Pattern.compile,30184
118,0.06%,86.08%,83,java.lang.String.charAt,30160
119,0.06%,86.14%,83,java.lang.Integer.intValue,30172
120,0.06%,86.20%,82,org.python.core.PyObject.__call__,30180
121,0.06%,86.26%,81,org.python.core.PyFloat.canCoerce,30143
122,0.06%,86.31%,80,java.lang.Object.<init>,30179
123,0.06%,86.37%,78,java.math.BigInteger.subtract,30155
124,0.06%,86.43%,78,java.lang.String.charAt,30160
125,0.06%,86.48%,77,java.util.ArrayList.rangeCheck,30126
126,0.06%,86.54%,77,org.python.core.PyString._isupper,30158
127,0.06%,86.60%,77,java.util.regex.Matcher.replaceAll,30180
128,0.06%,86.65%,77,java.lang.Integer.toUnsignedString0,30182
129,0.05%,86.71%,75,org.python.core.PyTuple.<init>,30134
130,0.05%,86.76%,75,org.python.core.PyFloat.canCoerce,30141
131,0.05%,86.82%,75,java.lang.CharacterData.of,30165
132,0.05%,86.87%,75,java.util.Arrays.copyOfRange,30181
133,0.05%,86.92%,73,java.lang.System.arraycopy,30117
134,0.05%,86.98%,73,org.python.core.PyInteger.canCoerce,30145
135,0.05%,87.03%,73,java.lang.String.toCharArray,30160
136,0.05%,87.08%,73,java.lang.Integer.valueOf,30165
137,0.05%,87.14%,72,java.util.Arrays.copyOf,30088
138,0.05%,87.19%,71,java.lang.System.arraycopy,30084
139,0.05%,87.24%,71,org.python.core.PyInteger.getValue,30150
140,0.05%,87.29%,70,java.util.Arrays.copyOfRange,30136
141,0.05%,87.34%,70,org.python.core.PyObject.__call__,30182
142,0.05%,87.39%,68,java.util.AbstractCollection.toArray,30129
143,0.05%,87.44%,67,java.math.BigInteger.add,30156
144,0.05%,87.49%,66,org.python.core.PyObject.__call__,30179
145,0.05%,87.54%,66,org.python.core.ArgParser.getList,30185
146,0.05%,87.58%,62,java.lang.Object.clone,30157
147,0.05%,87.63%,62,java.util.regex.Matcher.<init>,30181
148,0.04%,87.67%,61,java.lang.CharacterDataLatin1.getPropertiesEx,30175
149,0.04%,87.72%,61,sun.reflect.Reflection.getClassAccessFlags,30181
150,0.04%,87.76%,61,org.python.core.PyObject.__call__,30182
151,0.04%,87.80%,60,java.lang.System.arraycopy,30117
152,0.04%,87.85%,60,java.lang.CharacterDataLatin1.getPropertiesEx,30166
153,0.04%,87.89%,60,java.lang.AbstractStringBuilder.<init>,30181
154,0.04%,87.93%,58,org.python.core.PyObject.__call__,30180
155,0.04%,87.98%,58,org.python.core.PyReflectedFunction.copy,30180
156,0.04%,88.02%,57,Calls$py.g$5,30134
157,0.04%,88.06%,56,org.python.core.PyObject.__call__,30179
158,0.04%,88.10%,55,java.util.Arrays.copyOfRange,30167
159,0.04%,88.14%,55,org.python.core.PyObject.__call__,30180
160,0.04%,88.18%,54,java.lang.CharacterData.of,30167
161,0.04%,88.22%,53,org.python.core.BaseBytes.isalpha,30161
162,0.04%,88.26%,53,java.lang.AbstractStringBuilder.appendCodePoint,30169
163,0.04%,88.29%,52,org.python.core.PyObjectDerived.<init>,30119
164,0.04%,88.33%,52,java.lang.String.intern,30135
165,0.04%,88.37%,52,org.python.core.PyFloat.canCoerce,30142
166,0.04%,88.41%,52,java.util.ArrayList.calculateCapacity,30154
167,0.04%,88.44%,52,org.python.core.PyString._islower,30159
168,0.04%,88.48%,52,java.lang.CharacterData00.getProperties,30166
169,0.04%,88.52%,52,java.lang.CharacterData00.toUpperCaseCharArray,30169
170,0.04%,88.56%,51,java.util.AbstractCollection.toArray,30129
171,0.04%,88.59%,51,java.lang.CharacterDataLatin1.getProperties,30170
172,0.04%,88.63%,50,org.python.core.PyComplex.canCoerce,30136
173,0.04%,88.67%,50,org.python.core.BaseBytes.isupper,30159
174,0.04%,88.70%,50,java.lang.AbstractStringBuilder.appendCodePoint,30166
175,0.04%,88.74%,50,java.lang.String.replace,30181
176,0.04%,88.78%,49,org.python.core.PyObject.__call__,30182
177,0.03%,88.81%,48,java.lang.CharacterDataLatin1.getProperties,30173
178,0.03%,88.85%,48,org.python.core.PyInteger.isIndex,30235
179,0.03%,88.88%,47,java.lang.AbstractStringBuilder.appendCodePoint,30173
180,0.03%,88.91%,46,org.python.core.PyTuple.<init>,30164
181,0.03%,88.95%,46,java.lang.Character.isBmpCodePoint,30167
182,0.03%,88.98%,46,java.util.regex.Pattern.compile,30183
183,0.03%,89.01%,45,java.lang.Object.getClass,30158
184,0.03%,89.05%,45,java.lang.System.arraycopy,30179
185,0.03%,89.08%,45,unicodedata$py.f$10,30180
186,0.03%,89.11%,44,java.lang.CharacterData.of,30173
187,0.03%,89.14%,44,java.lang.CharacterDataLatin1.toUpperCase,30173
188,0.03%,89.18%,44,java.lang.CharacterData00.getProperties,30212
189,0.03%,89.21%,43,java.lang.System.arraycopy,30114
190,0.03%,89.24%,43,org.python.core.PyUnicode.getSupplementaryCounts,30117
191,0.03%,89.27%,43,org.python.core.PyComplex.canCoerce,30136
192,0.03%,89.30%,43,org.python.core.PyList.pyset,30154
193,0.03%,89.33%,43,org.python.core.PyInteger.getValue,30154
194,0.03%,89.36%,43,java.lang.String.replace,30178
195,0.03%,89.39%,42,org.python.core.PyFrame.<init>,30114
196,0.03%,89.42%,42,java.lang.AbstractStringBuilder.appendCodePoint,30167
197,0.03%,89.46%,42,org.python.core.PyObject.object___new__,30189
198,0.03%,89.49%,41,java.util.ArrayList$SubList$1.hasNext,30130
199,0.03%,89.52%,41,java.lang.Object.getClass,30134
200,0.03%,89.55%,41,org.python.core.PyComplex.canCoerce,30137
201,0.03%,89.57%,41,sun.misc.Unsafe.getObjectVolatile,30139
202,0.03%,89.60%,41,sun.misc.Unsafe.putObjectVolatile,30140
203,0.03%,89.63%,40,org.python.core.PyInteger.isIndex,30153
204,0.03%,89.66%,40,java.lang.String.toUpperCase,30169
205,0.03%,89.69%,40,java.lang.AbstractStringBuilder.appendCodePoint,30172
