rank,self,accum,count,method,trace
604,0.02%,91.44%,16,avrora.sim.mcu.AtmelMicrocontroller$INTPin.updateSensedLevel,30050
605,0.02%,91.46%,16,avrora.sim.mcu.DefaultMCU$Pin.read,30050
606,0.02%,91.48%,16,avrora.sim.state.Register.getValue,30051
607,0.02%,91.50%,16,avrora.sim.mcu.ATMegaFamily$FlagRegister.setPosted,30054
608,0.02%,91.52%,16,avrora.arch.legacy.LegacyInterpreter.visit,30073
609,0.02%,91.54%,16,avrora.arch.legacy.LegacyInterpreter.visit,30075
610,0.02%,91.56%,16,cck.util.Arithmetic.uword,30084
611,0.02%,91.58%,16,avrora.arch.legacy.LegacyInterpreter.visit,30085
612,0.02%,91.60%,16,avrora.sim.RWRegister.setValue,30091
613,0.02%,91.62%,16,avrora.sim.AtmelInterpreter.writeVolatile,30093
614,0.02%,91.64%,16,cck.util.Arithmetic.lowestBit,30095
615,0.02%,91.66%,16,avrora.sim.mcu.Timer8Bit$Mode_CTC.fire,30098
616,0.02%,91.68%,16,avrora.sim.clock.DeltaQueue.advance,30107
617,0.02%,91.70%,16,avrora.arch.legacy.LegacyInterpreter.visit,30113
618,0.02%,91.72%,16,avrora.arch.legacy.LegacyInterpreter.visit,30114
619,0.02%,91.74%,16,avrora.sim.AtmelInterpreter.advanceClock,30114
620,0.02%,91.76%,16,cck.util.Arithmetic.uword,30125
621,0.02%,91.78%,16,java.util.LinkedList.checkPositionIndex,30132
622,0.02%,91.80%,16,avrora.sim.RWRegister.setValue,30139
623,0.02%,91.82%,16,avrora.arch.legacy.LegacyInterpreter.visit,30144
624,0.02%,91.84%,16,avrora.arch.legacy.LegacyInterpreter.visit,30144
625,0.02%,91.86%,16,avrora.sim.mcu.ATMegaFamily$FlagRegister.setPosted,30144
626,0.02%,91.88%,16,avrora.arch.legacy.LegacyInterpreter.visit,30145
627,0.02%,91.90%,16,avrora.sim.clock.DeltaQueue.free,30146
628,0.02%,91.92%,16,avrora.arch.legacy.LegacyInterpreter.visit,30148
629,0.02%,91.94%,16,avrora.sim.state.RegisterUtil$BoolView.setValue,30161
630,0.02%,91.96%,16,avrora.sim.AtmelInterpreter.writeSRAM,30178
631,0.02%,91.98%,15,avrora.arch.legacy.LegacyRegister.getNumber,30052
632,0.02%,92.00%,15,avrora.arch.legacy.LegacyInterpreter.visit,30083
633,0.02%,92.01%,15,avrora.arch.legacy.LegacyInterpreter.visit,30084
634,0.02%,92.03%,15,avrora.arch.legacy.LegacyInterpreter.runLoop,30087
635,0.02%,92.05%,15,avrora.arch.legacy.LegacyInterpreter.visit,30090
636,0.02%,92.07%,15,java.util.LinkedList.isPositionIndex,30101
637,0.02%,92.09%,15,avrora.sim.AtmelInterpreter.getDataByte,30102
638,0.02%,92.11%,15,avrora.sim.AtmelInterpreter.getInterruptVectorAddress,30106
639,0.02%,92.13%,15,avrora.sim.AtmelInterpreter.fireAfterWrite,30112
640,0.02%,92.14%,15,cck.util.Arithmetic.getBit,30113
641,0.02%,92.16%,15,avrora.arch.legacy.LegacyRegister.getNumber,30119
642,0.02%,92.18%,15,avrora.arch.legacy.LegacyInterpreter.low,30120
643,0.02%,92.20%,15,cck.util.Arithmetic.low,30125
644,0.02%,92.22%,15,avrora.arch.legacy.LegacyInterpreter.visit,30131
645,0.02%,92.24%,15,avrora.arch.legacy.LegacyInterpreter.visit,30132
646,0.02%,92.25%,15,avrora.arch.legacy.LegacyInterpreter.leaveSleepMode,30133
647,0.02%,92.27%,15,avrora.arch.legacy.LegacyInterpreter.visit,30135
648,0.02%,92.29%,15,avrora.sim.AtmelInterpreter.popByte,30136
649,0.02%,92.31%,15,avrora.sim.AtmelInterpreter$IORegBehavior.read,30152
650,0.02%,92.33%,15,cck.util.Arithmetic.uword,30159
651,0.02%,92.35%,15,avrora.arch.legacy.LegacyInterpreter.visit,30162
652,0.02%,92.37%,15,avrora.sim.FiniteStateMachine.transition,30165
653,0.02%,92.38%,15,avrora.arch.legacy.LegacyInterpreter.visit,30166
654,0.02%,92.40%,15,avrora.sim.AtmelInterpreter.fireBeforeRead,30166
655,0.02%,92.42%,15,avrora.arch.legacy.LegacyRegister.getNumber,30167
656,0.02%,92.44%,15,avrora.sim.util.TransactionalList.isEmpty,30167
657,0.02%,92.46%,15,avrora.sim.FiniteStateMachine.fireBefore,30168
658,0.02%,92.48%,15,avrora.sim.util.TransactionalList.isEmpty,30169
659,0.02%,92.50%,15,avrora.sim.AtmelInterpreter.writeVolatile,30176
660,0.02%,92.51%,15,avrora.sim.FiniteStateMachine.fireAfter,30191
661,0.02%,92.53%,15,avrora.arch.legacy.LegacyInterpreter.visit,30194
662,0.02%,92.55%,14,avrora.sim.AtmelInterpreter.readSRAM,30046
663,0.02%,92.57%,14,avrora.sim.AtmelInterpreter.toSRAM,30050
664,0.02%,92.58%,14,avrora.sim.AtmelInterpreter.setIORegBit,30054
665,0.02%,92.60%,14,avrora.arch.legacy.LegacyInterpreter.visit,30057
666,0.02%,92.62%,14,avrora.sim.FiniteStateMachine.transition,30063
667,0.02%,92.64%,14,java.lang.Object.wait,30063
668,0.02%,92.65%,14,cck.util.Arithmetic.uword,30081
669,0.02%,92.67%,14,cck.util.Arithmetic.uword,30082
670,0.02%,92.69%,14,avrora.sim.mcu.AtmelMicrocontroller$INTPin.triggersInterrupt,30084
671,0.02%,92.71%,14,avrora.arch.legacy.LegacyInterpreter.visit,30092
672,0.02%,92.72%,14,avrora.sim.AtmelInterpreter.commit,30108
673,0.02%,92.74%,14,avrora.sim.radio.Medium$Receiver$Ticker.fire,30108
674,0.02%,92.76%,14,avrora.sim.mcu.SPI.newFrame,30123
675,0.02%,92.77%,14,avrora.arch.legacy.LegacyInterpreter.stepInstruction,30134
676,0.02%,92.79%,14,avrora.arch.legacy.LegacyInterpreter.visit,30147
677,0.02%,92.81%,14,avrora.sim.AtmelInterpreter.getSP,30150
678,0.02%,92.83%,14,avrora.sim.AtmelInterpreter.readSRAM,30153
679,0.02%,92.84%,14,cck.util.Arithmetic.getBit,30154
680,0.02%,92.86%,14,avrora.sim.mcu.AtmelMicrocontroller$INTPin.write,30155
681,0.02%,92.88%,14,cck.util.Arithmetic.high,30160
682,0.02%,92.90%,14,avrora.sim.AtmelInterpreter.writeSRAM,30161
683,0.02%,92.91%,14,avrora.arch.legacy.LegacyInterpreter.visit,30167
684,0.02%,92.93%,14,avrora.sim.state.RegisterUtil$BoolView.getValue,30175
685,0.02%,92.95%,13,avrora.sim.AtmelInterpreter.writeSRAM,30046
686,0.02%,92.96%,13,avrora.sim.AtmelInterpreter.toSRAM,30051
687,0.02%,92.98%,13,avrora.sim.state.RegisterUtil$BitRangeView.getValue,30071
688,0.02%,92.99%,13,avrora.sim.AtmelInterpreter.setIORegBit,30072
689,0.02%,93.01%,13,avrora.sim.AtmelInterpreter.pushByte,30081
690,0.02%,93.03%,13,java.util.LinkedList$ListItr.next,30081
691,0.02%,93.04%,13,avrora.sim.AtmelInterpreter.pushByte,30087
692,0.02%,93.06%,13,avrora.arch.legacy.LegacyInterpreter.visit,30093
693,0.02%,93.07%,13,java.util.Arrays.copyOfRange,30094
694,0.02%,93.09%,13,avrora.sim.AtmelInterpreter.readSRAM,30096
695,0.02%,93.11%,13,avrora.arch.legacy.LegacyInterpreter.visit,30100
696,0.02%,93.12%,13,avrora.arch.legacy.LegacyRegister.getNumber,30100
697,0.02%,93.14%,13,avrora.arch.legacy.LegacyInterpreter.visit,30100
698,0.02%,93.15%,13,avrora.sim.clock.DeltaQueue.free,30101
699,0.02%,93.17%,13,avrora.arch.legacy.LegacyRegister.getNumber,30102
700,0.02%,93.19%,13,avrora.sim.clock.DeltaQueue.advance,30103
701,0.02%,93.20%,13,cck.util.Arithmetic.low,30104
702,0.02%,93.22%,13,avrora.arch.legacy.LegacyInterpreter.visit,30109
703,0.02%,93.23%,13,avrora.sim.mcu.SPI$SPDReg.write,30112
704,0.02%,93.25%,13,cck.util.Arithmetic.high,30119
705,0.02%,93.27%,13,avrora.arch.legacy.LegacyInterpreter.visit,30119
706,0.02%,93.28%,13,avrora.arch.legacy.LegacyInterpreter.visit,30122
707,0.02%,93.30%,13,cck.util.Arithmetic.low,30124
708,0.02%,93.32%,13,avrora.sim.FiniteStateMachine.transition,30128
709,0.02%,93.33%,13,avrora.sim.AtmelInterpreter$SREGBehavior.write,30130
710,0.02%,93.35%,13,avrora.sim.AtmelInterpreter.writeRegisterWord,30131
711,0.02%,93.36%,13,avrora.sim.AtmelInterpreter.writeSRAM,30133
712,0.02%,93.38%,13,avrora.sim.AtmelInterpreter.fireBeforeWrite,30137
713,0.02%,93.40%,13,avrora.sim.AtmelInterpreter$IORegBehavior.read,30138
714,0.02%,93.41%,13,cck.util.Arithmetic.uword,30142
715,0.02%,93.43%,13,avrora.sim.radio.CC1000Radio$SerialConfigurationInterface$PCLKOutput.write,30149
716,0.02%,93.44%,13,avrora.arch.legacy.LegacyInterpreter.low,30151
717,0.02%,93.46%,13,avrora.arch.legacy.LegacyInterpreter.visit,30154
718,0.02%,93.48%,13,avrora.sim.AtmelInterpreter.writeVolatile,30155
719,0.02%,93.49%,13,sun.nio.cs.UTF_8$Encoder.encodeArrayLoop,30160
720,0.02%,93.51%,13,avrora.sim.mcu.ATMega128.getSleepMode,30161
721,0.02%,93.52%,13,avrora.sim.mcu.SPI$SPSReg.clearSPIF,30165
722,0.02%,93.54%,13,avrora.sim.AtmelInterpreter.pushByte,30167
723,0.02%,93.56%,13,avrora.arch.legacy.LegacyRegister.nextRegister,30168
724,0.02%,93.57%,13,avrora.sim.RWRegister.read,30170
725,0.02%,93.59%,13,avrora.arch.legacy.LegacyInterpreter.visit,30194
726,0.02%,93.60%,13,cck.util.Arithmetic.low,30197
727,0.02%,93.62%,13,avrora.sim.AtmelInterpreter.writeRegisterWord,30209
728,0.01%,93.63%,12,avrora.arch.legacy.LegacyInterpreter.visit,30050
729,0.01%,93.65%,12,avrora.sim.AtmelInterpreter.writeDataByte,30052
730,0.01%,93.66%,12,avrora.sim.FiniteStateMachine.fireAfter,30053
731,0.01%,93.68%,12,avrora.sim.AtmelInterpreter.setIORegBit,30057
732,0.01%,93.69%,12,cck.util.Arithmetic.high,30077
733,0.01%,93.71%,12,avrora.arch.legacy.LegacyInterpreter.uword,30092
734,0.01%,93.72%,12,avrora.arch.legacy.LegacyInterpreter.visit,30093
735,0.01%,93.74%,12,avrora.arch.legacy.LegacyRegister.nextRegister,30099
736,0.01%,93.75%,12,avrora.arch.legacy.LegacyInterpreter.visit,30101
737,0.01%,93.77%,12,avrora.arch.legacy.LegacyInterpreter.visit,30103
738,0.01%,93.78%,12,avrora.arch.legacy.LegacyInterpreter.visit,30103
739,0.01%,93.80%,12,avrora.arch.legacy.LegacyInterpreter.visit,30103
740,0.01%,93.81%,12,cck.util.Arithmetic.high,30107
741,0.01%,93.83%,12,avrora.sim.FiniteStateMachine.transition,30111
742,0.01%,93.84%,12,avrora.arch.legacy.LegacyRegister.getNumber,30113
743,0.01%,93.86%,12,avrora.sim.RWRegister.write,30123
744,0.01%,93.87%,12,avrora.sim.AtmelInterpreter.readSRAM,30127
745,0.01%,93.89%,12,avrora.sim.FiniteStateMachine.transition,30131
746,0.01%,93.90%,12,avrora.sim.AtmelInterpreter.getInterruptVectorAddress,30140
747,0.01%,93.92%,12,avrora.arch.legacy.LegacyInterpreter.visit,30143
748,0.01%,93.93%,12,avrora.sim.AtmelInterpreter.writeSRAM,30145
749,0.01%,93.95%,12,avrora.sim.radio.Medium$Receiver.waitForNeighbors,30146
750,0.01%,93.96%,12,avrora.sim.util.TransactionalList.isEmpty,30151
751,0.01%,93.98%,12,cck.util.Arithmetic.uword,30152
752,0.01%,93.99%,12,avrora.sim.AtmelInterpreter$SREGBehavior.read,30152
753,0.01%,94.01%,12,java.util.HashMap.get,30164
754,0.01%,94.02%,12,avrora.sim.AtmelInterpreter.fireAfterRead,30181
755,0.01%,94.03%,12,avrora.sim.clock.DeltaQueue.insertEvent,30181
756,0.01%,94.05%,12,avrora.sim.util.TransactionalList.isEmpty,30189
757,0.01%,94.06%,12,avrora.sim.FiniteStateMachine.transition,30210
758,0.01%,94.08%,11,cck.util.Arithmetic.clearBit,30045
759,0.01%,94.09%,11,avrora.arch.legacy.LegacyInterpreter.visit,30049
760,0.01%,94.11%,11,avrora.sim.AtmelInterpreter.writeSRAM,30054
761,0.01%,94.12%,11,avrora.arch.legacy.LegacyInterpreter.visit,30069
762,0.01%,94.13%,11,avrora.sim.FiniteStateMachine.fireBefore,30080
763,0.01%,94.15%,11,avrora.arch.legacy.LegacyInterpreter.visit,30090
764,0.01%,94.16%,11,avrora.sim.FiniteStateMachine.fireAfter,30091
765,0.01%,94.17%,11,avrora.arch.legacy.LegacyInterpreter.visit,30093
766,0.01%,94.19%,11,avrora.arch.legacy.LegacyInterpreter.visit,30101
767,0.01%,94.20%,11,cck.util.Arithmetic.uword,30103
768,0.01%,94.21%,11,cck.util.Arithmetic.lowestBit,30105
769,0.01%,94.23%,11,avrora.arch.legacy.LegacyInterpreter.visit,30106
770,0.01%,94.24%,11,avrora.sim.AtmelInterpreter.setSP,30106
771,0.01%,94.25%,11,cck.util.Arithmetic.getBitField,30120
772,0.01%,94.27%,11,avrora.sim.AtmelInterpreter.readSRAM,30120
773,0.01%,94.28%,11,avrora.arch.legacy.LegacyInterpreter.visit,30121
774,0.01%,94.30%,11,cck.util.Arithmetic.getBitField,30122
775,0.01%,94.31%,11,avrora.sim.AtmelInterpreter.readSRAM,30126
776,0.01%,94.32%,11,avrora.sim.mcu.SPI$SPDReg.read,30129
777,0.01%,94.34%,11,avrora.sim.RWRegister.setValue,30130
778,0.01%,94.35%,11,avrora.sim.AtmelInterpreter.popByte,30130
779,0.01%,94.36%,11,java.util.LinkedList$ListItr.hasNext,30134
780,0.01%,94.38%,11,java.lang.Object.notifyAll,30138
781,0.01%,94.39%,11,avrora.sim.AtmelInterpreter.readSRAM,30148
782,0.01%,94.40%,11,cck.util.Arithmetic.setBit,30148
783,0.01%,94.42%,11,avrora.arch.legacy.LegacyInterpreter.runLoop,30149
784,0.01%,94.43%,11,avrora.sim.AtmelInterpreter.writeRegisterByte,30149
785,0.01%,94.44%,11,avrora.sim.mcu.Timer8Bit.tickerFinish,30159
786,0.01%,94.46%,11,avrora.arch.legacy.LegacyInterpreter.visit,30166
787,0.01%,94.47%,11,avrora.arch.legacy.LegacyInterpreter.visit,30173
788,0.01%,94.49%,11,cck.util.Arithmetic.uword,30179
789,0.01%,94.50%,11,avrora.arch.legacy.LegacyRegister.getNumber,30186
790,0.01%,94.51%,11,avrora.sim.radio.Medium$TXRX.getBitNum,30194
791,0.01%,94.53%,11,avrora.arch.legacy.LegacyInterpreter.visit,30203
792,0.01%,94.54%,10,avrora.sim.AtmelInterpreter.readVolatile,30046
793,0.01%,94.55%,10,avrora.sim.state.BooleanRegister.getValue,30056
794,0.01%,94.56%,10,avrora.sim.mcu.DefaultMCU$Pin.write,30062
795,0.01%,94.58%,10,avrora.arch.legacy.LegacyRegister.getNumber,30062
796,0.01%,94.59%,10,avrora.sim.mcu.DefaultMCU.access$000,30068
797,0.01%,94.60%,10,avrora.sim.util.TransactionalList.isEmpty,30085
798,0.01%,94.61%,10,avrora.arch.legacy.LegacyInterpreter.visit,30086
799,0.01%,94.63%,10,avrora.sim.AtmelInterpreter.readSRAM,30088
800,0.01%,94.64%,10,avrora.sim.util.TransactionalList.isEmpty,30101
801,0.01%,94.65%,10,avrora.sim.AtmelInterpreter.getRegisterUnsigned,30104
802,0.01%,94.66%,10,avrora.sim.FiniteStateMachine.fireBefore,30104
803,0.01%,94.67%,10,avrora.sim.RWRegister.read,30105
804,0.01%,94.69%,10,avrora.arch.legacy.LegacyInterpreter.visit,30113
805,0.01%,94.70%,10,avrora.arch.legacy.LegacyInterpreter.visit,30115
806,0.01%,94.71%,10,avrora.sim.FiniteStateMachine.transition,30120
807,0.01%,94.72%,10,avrora.arch.legacy.LegacyInterpreter.visit,30123
808,0.01%,94.74%,10,avrora.sim.AtmelInterpreter.writeVolatile,30129
809,0.01%,94.75%,10,avrora.sim.FiniteStateMachine.fireAfter,30131
810,0.01%,94.76%,10,avrora.sim.AtmelInterpreter.readSRAM,30133
811,0.01%,94.77%,10,avrora.arch.legacy.LegacyInterpreter.visit,30135
812,0.01%,94.79%,10,avrora.arch.legacy.LegacyInterpreter.step,30135
813,0.01%,94.80%,10,cck.util.Arithmetic.high,30140
814,0.01%,94.81%,10,cck.util.Arithmetic.high,30142
815,0.01%,94.82%,10,avrora.sim.FiniteStateMachine.fireBefore,30147
816,0.01%,94.83%,10,cck.util.Arithmetic.lowestBit,30149
817,0.01%,94.85%,10,avrora.sim.AtmelInterpreter.popByte,30150
818,0.01%,94.86%,10,avrora.sim.state.RegisterUtil$BoolView.getValue,30150
819,0.01%,94.87%,10,avrora.sim.mcu.AtmelMicrocontroller$InterruptType.getBitValue,30154
820,0.01%,94.88%,10,avrora.sim.AtmelInterpreter.toSRAM,30155
821,0.01%,94.90%,10,avrora.arch.legacy.LegacyInterpreter.visit,30155
822,0.01%,94.91%,10,cck.util.Arithmetic.setBit,30156
823,0.01%,94.92%,10,cck.util.Arithmetic.getBit,30156
824,0.01%,94.93%,10,avrora.sim.CodeSegment.readInstr,30156
825,0.01%,94.95%,10,avrora.sim.AtmelInterpreter.popByte,30160
826,0.01%,94.96%,10,avrora.sim.AtmelInterpreter.readSRAM,30160
827,0.01%,94.97%,10,avrora.arch.legacy.LegacyInterpreter.visit,30160
828,0.01%,94.98%,10,avrora.sim.FiniteStateMachine.transition,30162
829,0.01%,95.00%,10,avrora.arch.legacy.LegacyRegister.getNumber,30168
830,0.01%,95.01%,10,avrora.sim.AtmelInterpreter.getRegisterByte,30171
831,0.01%,95.02%,10,cck.util.Arithmetic.uword,30171
832,0.01%,95.03%,10,avrora.sim.AtmelInterpreter.writeDataByte,30174
833,0.01%,95.04%,10,avrora.arch.legacy.LegacyInterpreter.visit,30174
834,0.01%,95.06%,10,avrora.sim.AtmelInterpreter.writeRegisterByte,30178
835,0.01%,95.07%,10,avrora.arch.legacy.LegacyInterpreter.low,30183
836,0.01%,95.08%,10,avrora.sim.AtmelInterpreter.getRegisterByte,30187
837,0.01%,95.09%,10,avrora.sim.AtmelInterpreter.writeSRAM,30192
838,0.01%,95.11%,10,avrora.sim.clock.DeltaQueue.insertEvent,30200
839,0.01%,95.12%,10,avrora.arch.legacy.LegacyInterpreter.visit,30204
840,0.01%,95.13%,10,avrora.arch.legacy.LegacyRegister.getNumber,30226
841,0.01%,95.14%,9,avrora.arch.legacy.LegacyInterpreter.visit,30055
842,0.01%,95.15%,9,avrora.sim.mcu.DefaultMCU$Pin.write,30059
843,0.01%,95.16%,9,avrora.sim.AtmelInterpreter.setIORegBit,30059
844,0.01%,95.18%,9,avrora.arch.legacy.LegacyInterpreter.visit,30069
845,0.01%,95.19%,9,cck.util.Arithmetic.low,30093
846,0.01%,95.20%,9,cck.util.Arithmetic.uword,30107
847,0.01%,95.21%,9,avrora.arch.legacy.LegacyInterpreter.visit,30110
848,0.01%,95.22%,9,avrora.sim.AtmelInterpreter.popByte,30112
849,0.01%,95.23%,9,avrora.sim.AtmelInterpreter.getRegisterByte,30116
850,0.01%,95.24%,9,avrora.arch.legacy.LegacyInterpreter.visit,30119
851,0.01%,95.25%,9,avrora.sim.mcu.Timer8Bit$Mode_CTC.fire,30122
852,0.01%,95.26%,9,avrora.arch.legacy.LegacyInterpreter.visit,30131
853,0.01%,95.28%,9,avrora.arch.legacy.LegacyInterpreter.visit,30136
854,0.01%,95.29%,9,avrora.sim.AtmelInterpreter.getSP,30148
855,0.01%,95.30%,9,avrora.sim.clock.DeltaQueue.free,30151
856,0.01%,95.31%,9,avrora.sim.mcu.ATMegaFamily$FlagRegister.setPosted,30152
857,0.01%,95.32%,9,avrora.sim.mcu.DefaultMCU$Pin.read,30154
858,0.01%,95.33%,9,cck.util.Arithmetic.low,30161
859,0.01%,95.34%,9,java.lang.Long.toString,30161
860,0.01%,95.35%,9,avrora.sim.radio.Medium$Receiver.getIntersection,30162
861,0.01%,95.36%,9,avrora.arch.legacy.LegacyRegister.getNumber,30164
862,0.01%,95.38%,9,avrora.sim.clock.DeltaQueue.newLink,30164
863,0.01%,95.39%,9,avrora.sim.mcu.Timer8Bit.tickerFinish,30171
864,0.01%,95.40%,9,avrora.arch.legacy.LegacyInterpreter.visit,30177
865,0.01%,95.41%,9,java.util.HashMap.get,30187
866,0.01%,95.42%,9,avrora.arch.legacy.LegacyInterpreter.visit,30190
867,0.01%,95.43%,9,avrora.sim.state.RegisterUtil$BitRangeView.getValue,30193
868,0.01%,95.44%,9,avrora.sim.FiniteStateMachine.fireBefore,30193
869,0.01%,95.45%,9,avrora.arch.legacy.LegacyInterpreter.visit,30194
870,0.01%,95.46%,9,avrora.sim.AtmelInterpreter.getRegisterByte,30195
871,0.01%,95.48%,9,avrora.arch.legacy.LegacyInterpreter.visit,30196
872,0.01%,95.49%,9,avrora.sim.AtmelInterpreter.writeSRAM,30197
873,0.01%,95.50%,9,avrora.sim.AtmelInterpreter.writeSRAM,30201
874,0.01%,95.51%,9,avrora.sim.radio.Medium$TXRX.getBitNum,30205





























































































































